app_id,app_data_safety,app_privacy_policy
"102","{""data_shared"": [{""category"": ""Device or other IDs"", ""sub_info"": [{""data_type"": ""Device or other IDs"", ""purpose"": ""Advertising or marketing"", ""optional"": false}]}, {""category"": ""Personal info"", ""sub_info"": [{""data_type"": ""Name"", ""purpose"": ""Fraud prevention - security - and compliance"", ""optional"": false}, {""data_type"": ""Email address"", ""purpose"": ""Fraud prevention - security - and compliance"", ""optional"": false}, {""data_type"": ""User IDs"", ""purpose"": ""Fraud prevention - security - and compliance"", ""optional"": false}, {""data_type"": ""Phone number"", ""purpose"": ""Fraud prevention - security - and compliance"", ""optional"": false}]}], ""data_collected"": [{""category"": ""Audio"", ""sub_info"": [{""data_type"": ""Voice or sound recordings"", ""purpose"": ""App functionality - Analytics - Fraud prevention - security - and compliance - Account management"", ""optional"": true}, {""data_type"": ""Music files"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": true}, {""data_type"": ""Other audio files"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": true}]}, {""category"": ""Photos and videos"", ""sub_info"": [{""data_type"": ""Photos"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": true}, {""data_type"": ""Videos"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": true}]}, {""category"": ""Device or other IDs"", ""sub_info"": [{""data_type"": ""Device or other IDs"", ""purpose"": ""Advertising or marketing"", ""optional"": false}]}, {""category"": ""Files and docs"", ""sub_info"": [{""data_type"": ""Files and docs"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": true}]}, {""category"": ""Web browsing"", ""sub_info"": [{""data_type"": ""Web browsing history"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": false}]}, {""category"": ""Messages"", ""sub_info"": [{""data_type"": ""Emails"", ""purpose"": ""App functionality - Fraud prevention - security - and compliance - Account management"", ""optional"": true}, {""data_type"": ""SMS or MMS"", ""purpose"": ""App functionality - Fraud prevention - security - and compliance - Account management"", ""optional"": true}, {""data_type"": ""Other in-app messages"", ""purpose"": ""App functionality - Fraud prevention - security - and compliance - Account management"", ""optional"": false}]}, {""category"": ""Financial info"", ""sub_info"": [{""data_type"": ""User payment info"", ""purpose"": ""App functionality - Analytics - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": true}, {""data_type"": ""Purchase history"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": true}, {""data_type"": ""Credit score"", ""purpose"": ""App functionality - Fraud prevention - security - and compliance - Account management"", ""optional"": true}, {""data_type"": ""Other financial info"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": true}]}, {""category"": ""Location"", ""sub_info"": [{""data_type"": ""Approximate location"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": false}, {""data_type"": ""Precise location"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": true}]}, {""category"": ""App info and performance"", ""sub_info"": [{""data_type"": ""Crash logs"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": false}, {""data_type"": ""Diagnostics"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": false}, {""data_type"": ""Other app performance data"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": false}]}, {""category"": ""Health and fitness"", ""sub_info"": [{""data_type"": ""Health info"", ""purpose"": ""App functionality - Analytics - Fraud prevention - security - and compliance - Account management"", ""optional"": true}, {""data_type"": ""Fitness info"", ""purpose"": ""App functionality - Analytics - Fraud prevention - security - and compliance - Account management"", ""optional"": true}]}, {""category"": ""Contacts"", ""sub_info"": [{""data_type"": ""Contacts"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": true}]}, {""category"": ""Calendar"", ""sub_info"": [{""data_type"": ""Calendar events"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": true}]}, {""category"": ""Personal info"", ""sub_info"": [{""data_type"": ""Name"", ""purpose"": ""Fraud prevention - security - and compliance"", ""optional"": false}, {""data_type"": ""Email address"", ""purpose"": ""Fraud prevention - security - and compliance"", ""optional"": false}, {""data_type"": ""User IDs"", ""purpose"": ""Fraud prevention - security - and compliance"", ""optional"": false}, {""data_type"": ""Phone number"", ""purpose"": ""Fraud prevention - security - and compliance"", ""optional"": false}]}, {""category"": ""App activity"", ""sub_info"": [{""data_type"": ""App interactions"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": false}, {""data_type"": ""In-app search history"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": false}, {""data_type"": ""Installed apps"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": false}, {""data_type"": ""Other user-generated content"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": true}, {""data_type"": ""Other actions"", ""purpose"": ""App functionality - Analytics - Developer communications - Advertising or marketing - Fraud prevention - security - and compliance - Personalization - Account management"", ""optional"": false}]}], ""security_practices"": [{""category"": ""Data is encrypted in transit"", ""sub_info"": []}, {""category"": ""You can request that data be deleted"", ""sub_info"": []}]}","{""data_shared"" : ""None"", ""data_collected"": ""None"", ""security_practices"" : ""None""}"
"103","{""data_shared"" : ""No data shared with third party"", ""data_collected"" : ""No data collected""}","An error occurred during processing"
"104","{""data_shared"" : ""No data shared with third party"", ""data_collected"": [{""category"": ""App info and performance"", ""sub_info"": [{""data_type"": ""Crash logs"", ""purpose"": ""Analytics"", ""optional"": false}, {""data_type"": ""Diagnostics"", ""purpose"": ""Analytics"", ""optional"": false}, {""data_type"": ""Other app performance data"", ""purpose"": ""Analytics"", ""optional"": false}]}, {""category"": ""Files and docs"", ""sub_info"": [{""data_type"": ""Files and docs"", ""purpose"": ""App functionality"", ""optional"": true}]}, {""category"": ""App activity"", ""sub_info"": [{""data_type"": ""App interactions"", ""purpose"": ""Analytics"", ""optional"": false}, {""data_type"": ""In-app search history"", ""purpose"": ""App functionality"", ""optional"": false}, {""data_type"": ""Installed apps"", ""purpose"": ""App functionality"", ""optional"": false}, {""data_type"": ""Other user-generated content"", ""purpose"": ""App functionality"", ""optional"": false}, {""data_type"": ""Other actions"", ""purpose"": ""Analytics"", ""optional"": false}]}, {""category"": ""Audio"", ""sub_info"": [{""data_type"": ""Voice or sound recordings"", ""purpose"": ""App functionality"", ""optional"": true}, {""data_type"": ""Other audio files"", ""purpose"": ""App functionality"", ""optional"": true}]}, {""category"": ""Calendar"", ""sub_info"": [{""data_type"": ""Calendar events"", ""purpose"": ""App functionality"", ""optional"": true}]}, {""category"": ""Personal info"", ""sub_info"": [{""data_type"": ""Name"", ""purpose"": ""App functionality"", ""optional"": false}, {""data_type"": ""Email address"", ""purpose"": ""App functionality"", ""optional"": false}, {""data_type"": ""User IDs"", ""purpose"": ""App functionality"", ""optional"": false}, {""data_type"": ""Phone number"", ""purpose"": ""App functionality"", ""optional"": false}]}, {""category"": ""Messages"", ""sub_info"": [{""data_type"": ""Emails"", ""purpose"": ""App functionality"", ""optional"": false}, {""data_type"": ""SMS or MMS"", ""purpose"": ""App functionality"", ""optional"": false}, {""data_type"": ""Other in-app messages"", ""purpose"": ""App functionality"", ""optional"": false}]}, {""category"": ""Device or other IDs"", ""sub_info"": [{""data_type"": ""Device or other IDs"", ""purpose"": ""Analytics"", ""optional"": false}]}, {""category"": ""Photos and videos"", ""sub_info"": [{""data_type"": ""Photos"", ""purpose"": ""App functionality"", ""optional"": true}, {""data_type"": ""Videos"", ""purpose"": ""App functionality"", ""optional"": true}]}], ""security_practices"": [{""category"": ""Data is encrypted in transit"", ""sub_info"": []}, {""category"": ""You can request that data be deleted"", ""sub_info"": []}]}","{""data_shared"" : ""The app shares user data with third parties for advertising purposes. In addition, it shares data with analytics partners to help improve the application's performance and user experience."", ""data_collected"": ""The app collects personal data such as email address, name, and location to provide personalized services and recommendations. It also collects usage data to analyze trends and improve the app."", ""security_practices"" : ""The app applies strong encryption methods to protect user data. It also regularly conducts security audits to detect potential vulnerabilities and address them in a timely manner.""}"
"105","{""data_shared"": [{""category"": ""Device or other IDs"", ""sub_info"": [{""data_type"": ""Device or other IDs"", ""purpose"": ""Analytics - Advertising or marketing"", ""optional"": false}]}, {""category"": ""Personal info"", ""sub_info"": [{""data_type"": ""Email address"", ""purpose"": ""App functionality - Account management"", ""optional"": false}]}], ""data_collected"": [{""category"": ""App activity"", ""sub_info"": [{""data_type"": ""App interactions"", ""purpose"": ""Analytics"", ""optional"": false}, {""data_type"": ""Other actions"", ""purpose"": ""Analytics"", ""optional"": false}]}, {""category"": ""Photos and videos"", ""sub_info"": [{""data_type"": ""Photos"", ""purpose"": ""App functionality - Fraud prevention - security - and compliance - Account management"", ""optional"": false}]}, {""category"": ""Device or other IDs"", ""sub_info"": [{""data_type"": ""Device or other IDs"", ""purpose"": ""Analytics - Advertising or marketing"", ""optional"": false}]}, {""category"": ""Files and docs"", ""sub_info"": [{""data_type"": ""Files and docs"", ""purpose"": ""App functionality - Fraud prevention - security - and compliance - Account management"", ""optional"": false}]}, {""category"": ""Location"", ""sub_info"": [{""data_type"": ""Precise location"", ""purpose"": ""App functionality - Analytics - Account management"", ""optional"": true}]}, {""category"": ""Personal info"", ""sub_info"": [{""data_type"": ""Email address"", ""purpose"": ""App functionality - Account management"", ""optional"": false}]}], ""security_practices"": [{""category"": ""Data is encrypted in transit"", ""sub_info"": []}, {""category"": ""You can request that data be deleted"", ""sub_info"": []}]}","No provide sharing information section"
"106","{""data_shared"" : ""No data shared with third party"", ""data_collected"": [{""category"": ""App activity"", ""sub_info"": [{""data_type"": ""App interactions"", ""purpose"": ""Analytics"", ""optional"": false}]}, {""category"": ""App info and performance"", ""sub_info"": [{""data_type"": ""Crash logs"", ""purpose"": ""Analytics"", ""optional"": false}, {""data_type"": ""Diagnostics"", ""purpose"": ""Analytics"", ""optional"": false}, {""data_type"": ""Other app performance data"", ""purpose"": ""Analytics"", ""optional"": false}]}, {""category"": ""Device or other IDs"", ""sub_info"": [{""data_type"": ""Device or other IDs"", ""purpose"": ""Analytics"", ""optional"": false}]}], ""security_practices"": [{""category"": ""Data is encrypted in transit"", ""sub_info"": []}, {""category"": ""Data can\u2019t be deleted"", ""sub_info"": []}]}","{""data_shared"" : ""The app does use third party services that may collect information used to identify you. These third parties have access to your Personal Information in order to perform tasks assigned to them on behalf of the app"", ""data_collected"": ""The Personal Information that I collect is used for providing and improving the Service. In case of an error in the app, Log Data is collected which may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics."", ""security_practices"" : ""We use commercially acceptable means of protecting your Personal Information but no method of transmission over the internet, or method of electronic storage is 100% secure and reliable.""}"
"107","{""data_shared"" : ""No data shared with third party"", ""data_collected"": ""No data collected""}","{""data_shared"" : ""FX File Explorer does not send any information about you to anyone. It does not contain ads. It will never install additional products on your device or change your device's configuration."", ""data_collected"": ""FX File Explorer does not collect any information about you or your usage of the app."", ""security_practices"" : ""If you use Google Drive with FX, the authentication information is stored exclusively in the app. It is never transmitted/stored elsewhere. This app will not access, use, store, or share Google user data in any way other than to perform operations specifically requested by the user. As it the case with every other aspect of FX, no analytics are collected by the app.""}"
"108","{""data_shared"" : ""No data shared with third party"", ""data_collected"" : ""No data collected""}","{""data_shared"" : ""The text does not provide information about the type or purpose of data the app shares with others."", ""data_collected"": ""The text does not provide information about the type or purpose of data the app collects."", ""security_practices"" : ""The text does not provide information about the security practices of the app.""}"
"109","{""data_shared"": [{""category"": ""App info and performance"", ""sub_info"": [{""data_type"": ""Crash logs"", ""purpose"": ""Analytics"", ""optional"": false}, {""data_type"": ""Diagnostics"", ""purpose"": ""Analytics"", ""optional"": false}, {""data_type"": ""Other app performance data"", ""purpose"": ""Analytics"", ""optional"": false}]}, {""category"": ""App activity"", ""sub_info"": [{""data_type"": ""App interactions"", ""purpose"": ""Analytics"", ""optional"": false}]}], ""data_collected"": [{""category"": ""Calendar"", ""sub_info"": [{""data_type"": ""Calendar events"", ""purpose"": ""App functionality"", ""optional"": true}]}, {""category"": ""Personal info"", ""sub_info"": [{""data_type"": ""Name"", ""purpose"": ""App functionality"", ""optional"": false}, {""data_type"": ""Email address"", ""purpose"": ""App functionality - Account management"", ""optional"": true}]}, {""category"": ""App info and performance"", ""sub_info"": [{""data_type"": ""Crash logs"", ""purpose"": ""Analytics"", ""optional"": false}, {""data_type"": ""Diagnostics"", ""purpose"": ""Analytics"", ""optional"": false}, {""data_type"": ""Other app performance data"", ""purpose"": ""Analytics"", ""optional"": false}]}, {""category"": ""Contacts"", ""sub_info"": [{""data_type"": ""Contacts"", ""purpose"": ""App functionality"", ""optional"": true}]}, {""category"": ""App activity"", ""sub_info"": [{""data_type"": ""App interactions"", ""purpose"": ""Analytics"", ""optional"": false}]}], ""security_practices"": [{""category"": ""Data is encrypted in transit"", ""sub_info"": []}, {""category"": ""You can request that data be deleted"", ""sub_info"": []}]}","{""data_shared"" : ""We will ask your permission before we share your Personal Data with third parties for any purpose other than the reason you provided it or as otherwise stated in our Online Privacy Statement."", ""data_collected"": ""We collect Personal Data for a variety of reasons, which may include processing your order, providing our various websites and other Solutions, providing you with a newsletter subscription, sending business and marketing communications, personalizing your experience, and processing job applications. We may also collect information relating to your use of our websites and web-based Solutions through the use of various technologies, including cookies."", ""security_practices"" : ""We are committed to protecting your Personal Data against unauthorized use or disclosure.""}"
"110","{""data_shared"": [{""category"": ""Personal info"", ""sub_info"": [{""data_type"": ""User IDs"", ""purpose"": ""App functionality - Fraud prevention - security - and compliance"", ""optional"": false}]}, {""category"": ""Contacts"", ""sub_info"": [{""data_type"": ""Contacts"", ""purpose"": ""Fraud prevention - security - and compliance"", ""optional"": false}]}, {""category"": ""Device or other IDs"", ""sub_info"": [{""data_type"": ""Device or other IDs"", ""purpose"": ""App functionality - Fraud prevention - security - and compliance"", ""optional"": false}]}], ""data_collected"": [{""category"": ""Audio"", ""sub_info"": [{""data_type"": ""Voice or sound recordings"", ""purpose"": ""App functionality"", ""optional"": true}]}, {""category"": ""Files and docs"", ""sub_info"": [{""data_type"": ""Files and docs"", ""purpose"": ""App functionality"", ""optional"": true}]}, {""category"": ""Personal info"", ""sub_info"": [{""data_type"": ""User IDs"", ""purpose"": ""App functionality - Fraud prevention - security - and compliance"", ""optional"": false}]}, {""category"": ""App info and performance"", ""sub_info"": [{""data_type"": ""Crash logs"", ""purpose"": ""Analytics - Developer communications"", ""optional"": true}, {""data_type"": ""Diagnostics"", ""purpose"": ""Analytics - Developer communications"", ""optional"": true}]}, {""category"": ""App activity"", ""sub_info"": [{""data_type"": ""App interactions"", ""purpose"": ""Analytics"", ""optional"": false}]}, {""category"": ""Contacts"", ""sub_info"": [{""data_type"": ""Contacts"", ""purpose"": ""Fraud prevention - security - and compliance"", ""optional"": false}]}, {""category"": ""Device or other IDs"", ""sub_info"": [{""data_type"": ""Device or other IDs"", ""purpose"": ""App functionality - Fraud prevention - security - and compliance"", ""optional"": false}]}], ""security_practices"": [{""category"": ""Data is encrypted in transit"", ""sub_info"": []}, {""category"": ""You can request that data be deleted"", ""sub_info"": []}]}","No provide sharing information section"
"111","{""data_shared"" : ""No data shared with third party"", ""data_collected"" : ""No data collected""}","An error occurred during processing"
